Number,Questions,Option a,Option b,Option c,Option d,Correct Answer,Explanation,Level of Difficulty,Source,SUBJECT
1895,A patient is admitted with an exacerbation of 'ulcerative colitis'. What are the classic symptoms?,Constipation and weight gain.,"Bloody diarrhoea, abdominal pain, and an urgent need to go to the toilet.",Heartburn and acid reflux.,Nausea and vomiting only.,b,"Ulcerative colitis is a type of inflammatory bowel disease that affects the colon and rectum. The inflammation causes the colon to become ulcerated, leading to bloody diarrhoea and urgency.",Medium,Original Question,
1896,What is the main purpose of an 'intercostal catheter'?,To drain fluid from the abdomen.,To administer medication into the heart.,To drain air or fluid from the pleural space.,To provide long-term nutritional support.,c,"An intercostal catheter, or chest drain, is a tube inserted into the space between the ribs (the intercostal space) to drain the pleural cavity.",Easy,Original Question,
1897,A patient has a 'craniotomy'. What is this procedure?,The surgical removal of a part of the skull to access the brain.,A biopsy of the brain.,A scan of the head.,A procedure to drain fluid from the spine.,a,"A craniotomy is the main type of brain surgery. A section of the skull, known as a bone flap, is removed to allow the surgeon to operate on the brain.",Medium,Original Question,
1898,A patient is diagnosed with 'Huntington's disease'. What is this?,A condition that affects the joints.,An inherited condition that causes progressive damage to nerve cells in the brain.,A type of dementia that affects older people.,A viral infection of the nervous system.,b,"Huntington's disease is a genetic disorder that typically starts in middle age. It causes a combination of motor problems (like chorea), cognitive decline, and psychiatric issues.",Hard,Original Question,
1899,A patient is being treated with a 'stent'. What is this device?,A type of surgical drain.,A tube used for feeding.,"A small, expandable mesh tube used to hold open a narrowed or blocked artery.",A device used to monitor the heart.,c,"Stents are most commonly used in the coronary arteries to treat angina and heart attacks, but can also be used in other arteries, such as the carotid or peripheral arteries.",Easy,Original Question,
1900,A patient is admitted with a suspected 'subarachnoid haemorrhage'. What is a classic presenting symptom?,A gradual onset of a mild headache.,"A severe, 'thunderclap' headache with a sudden onset.",Weakness on one side of the body.,A high fever and neck stiffness.,b,"The classic symptom of a subarachnoid haemorrhage is a sudden, explosive headache, often described by patients as ""the worst headache of my life"". It is a neurological emergency.",Hard,Original Question,
1901,A patient is diagnosed with 'Marfan syndrome'. This is a genetic disorder of which tissue?,Muscle tissue.,Nervous tissue.,Connective tissue.,Epithelial tissue.,b,"Marfan syndrome affects the body's connective tissue, which provides strength and flexibility to structures like bones, ligaments, blood vessels, and heart valves. People with Marfan syndrome are often very tall and have long limbs.",Hard,Original Question,
1902,You are caring for a patient who is being 'weaned' from a mechanical ventilator. What is the goal of this process?,To gradually decrease the amount of support from the ventilator to allow the patient to resume breathing on their own.,To increase the amount of sedation the patient is receiving.,To switch the patient from intravenous to oral medication.,To prepare the patient for a tracheostomy.,a,Weaning is the process of gradually reducing ventilatory support to see if the patient's own respiratory function is strong enough for them to be extubated and breathe independently.,Medium,Original Question,
1903,A patient has a 'pericardial effusion'. Where is this collection of fluid located?,In the lungs.,In the sac surrounding the heart (the pericardium).,In the abdomen.,In a joint.,b,"The pericardium is the sac that encloses the heart. A build-up of fluid in this space can compress the heart and prevent it from filling properly, a condition known as cardiac tamponade.",Medium,Original Question,
1904,A patient is being treated with 'amiodarone'. What is this medication primarily used for?,To treat pain.,To treat high blood pressure.,To treat and prevent serious cardiac arrhythmias.,To treat a bacterial infection.,c,"Amiodarone is a potent antiarrhythmic drug used to treat a variety of heart rhythm problems, such as atrial fibrillation and ventricular tachycardia. It has many potential side effects and requires careful monitoring.",Hard,Original Question,
1905,What is the purpose of 'Kanban' in a healthcare setting?,A method for calculating drug doses.,A visual system for managing work and workflow to improve efficiency.,A type of surgical procedure.,A tool for assessing a patient's risk of falls.,b,"Kanban is a scheduling system, originating from lean manufacturing, that helps to visualise work, limit work-in-progress, and maximise flow. It is used in some healthcare settings to manage tasks and improve team productivity.",Hard,Original Question,
1906,A patient has 'pancarditis'. What does this mean?,Inflammation of the heart muscle only.,Inflammation of the inner lining of the heart only.,"Inflammation of all three layers of the heart (the endocardium, myocardium, and pericardium).",Inflammation of the sac around the heart only.,c,"Pancarditis is a serious condition, most often associated with rheumatic fever, where all layers of the heart become inflamed.",Hard,Original Question,
1907,A patient is diagnosed with 'acromegaly'. This is caused by an excessive production of what?,Insulin.,Thyroid hormone.,Cortisol.,Growth hormone.,d,"Acromegaly is a rare condition caused by the pituitary gland producing too much growth hormone in adulthood. It leads to the gradual enlargement of the bones in the hands, feet, and face.",Hard,Original Question,
1908,A patient has a 'fasciotomy'. What is this procedure for?,To treat a fracture.,To relieve pressure and treat compartment syndrome.,To debride a wound.,To perform a skin graft.,b,A fasciotomy is a surgical emergency procedure where the fascia (the inelastic sheath around a muscle group) is cut to relieve tension or pressure. It is the definitive treatment for acute compartment syndrome.,Hard,Original Question,
1909,You are asked to assess a patient's 'post-void residual' urine volume. What is the best way to do this?,By asking the patient if they feel they have emptied their bladder.,By palpating the patient's abdomen.,By using a portable bladder scanner.,By inserting a urinary catheter after they have voided.,c,A bladder scanner is a non-invasive ultrasound device that provides a quick and accurate measurement of the amount of urine left in the bladder after a person has passed urine.,Easy,Original Question,
1910,A patient is diagnosed with 'Raynaud's phenomenon'. What are the symptoms?,Widespread joint pain and stiffness.,"Episodes where the fingers and toes change colour (white, then blue, then red) in response to cold or stress.",A persistent skin rash.,Chronic fatigue and muscle weakness.,b,"Raynaud's phenomenon is a condition affecting the blood supply to certain parts of the body, usually the fingers and toes. The blood vessels go into a temporary spasm, which blocks the flow of blood.",Medium,Original Question,
1911,A patient is being treated with a 'neuroleptic' medication. What is another term for this class of drug?,An antidepressant.,An anxiolytic (anti-anxiety) drug.,An antipsychotic drug.,A mood stabiliser.,c,"Neuroleptic is an older term for an antipsychotic drug, a class of medication primarily used to manage psychosis, including in conditions like schizophrenia and bipolar disorder.",Medium,Original Question,
1912,A patient is admitted with a suspected 'volvulus'. What is this?,A blockage in the bowel caused by a tumour.,"A twisting of the intestine, which can cut off its blood supply.",An infection of the bowel.,A hole in the bowel wall.,b,"A volvulus is a surgical emergency. The twisting of the bowel can cause an obstruction and can also cut off the blood supply, leading to tissue death (gangrene).",Hard,Original Question,
1913,What is a key principle of 'human givens' therapy?,To focus on a person's past childhood experiences.,That humans have a set of innate needs ('givens') and that mental distress arises when these needs are not met.,That mental illness is caused by a chemical imbalance in the brain.,To use medication as the primary form of treatment.,b,"Human givens is a psychotherapeutic approach based on the idea that when a person's essential emotional needs (e.g., for security, connection, meaning) are met, and their innate resources are used correctly, they will be mentally healthy.",Hard,Original Question,
1914,A patient has a 'pilonidal sinus'. What is this?,A type of fistula near the anus.,"A small hole or tunnel in the skin, usually at the top of the buttocks, that can become infected and form an abscess.",A type of haemorrhoid.,A pressure ulcer on the sacrum.,b,"A pilonidal sinus is a common condition, thought to be caused by loose hairs penetrating the skin.",Medium,Original Question,
1915,A patient is being treated with 'anticholinergic' medication. What is a common side effect?,Diarrhoea.,A dry mouth and blurred vision.,Increased salivation.,A slow heart rate.,b,"Anticholinergic drugs work by blocking the action of acetylcholine. This can lead to a range of side effects including a dry mouth, blurred vision, constipation, and urinary retention.",Medium,Original Question,
1916,A patient has a 'total hip arthroplasty'. What is the common term for this?,A hip replacement.,A hip fracture.,A hip arthroscopy.,A hip biopsy.,a,Arthroplasty is the surgical reconstruction or replacement of a joint.,Easy,Original Question,
1917,A patient is diagnosed with 'Wegener's granulomatosis'. This is a rare type of what?,Infection.,Cancer.,Vasculitis (inflammation of the blood vessels).,Genetic disorder.,c,"Wegener's granulomatosis (now known as Granulomatosis with Polyangiitis) is an autoimmune condition that causes inflammation of the blood vessels in the nose, sinuses, throat, lungs, and kidneys.",Hard,Original Question,
1918,What is the main purpose of the 'Braden Scale'?,To assess a patient's level of confusion.,To assess a patient's risk of falls.,To assess a patient's nutritional status.,To assess a patient's risk of developing a pressure ulcer.,d,"The Braden Scale is a widely used tool that assesses a patient's risk based on six criteria: sensory perception, moisture, activity, mobility, nutrition, and friction/shear.",Easy,Original Question,
1919,A patient has a 'nephrotic syndrome'. What is a key feature of this condition?,High blood pressure.,A low level of protein in the urine.,A high level of protein in the urine and peripheral oedema.,A high blood sugar level.,c,"Nephrotic syndrome is a kidney disorder that causes the body to excrete too much protein in the urine. This leads to a low level of protein in the blood, which in turn causes fluid to leak into the tissues, causing oedema.",Hard,Original Question,
1920,"A patient is being treated with a 'benzodiazepine' medication (e.g., lorazepam). What is this primarily used for?",To treat pain.,To treat depression.,To treat anxiety and seizures.,To treat high blood pressure.,c,"Benzodiazepines are a class of medication that act as central nervous system depressants. They are used to treat anxiety, insomnia, agitation, and seizures.",Easy,Original Question,
1921,A patient has a 'paracentesis' to drain ascitic fluid. What is a major potential complication?,A chest infection.,A DVT.,A significant drop in blood pressure.,A heart attack.,c,"The removal of a large volume of ascitic fluid can cause a significant fluid shift and a drop in circulating blood volume, leading to hypotension. This is why the procedure is often done slowly and may be accompanied by an albumin infusion.",Hard,Original Question,
1922,A patient is diagnosed with 'pernicious anaemia'. What is the standard treatment?,Oral iron tablets.,A blood transfusion.,Intramuscular injections of Vitamin B12.,A high-protein diet.,c,"In pernicious anaemia, the body cannot absorb Vitamin B12 from the gut. Therefore, the treatment is lifelong replacement with Vitamin B12 injections.",Medium,Original Question,
1923,What is a key principle of 'compassion in practice'?,To treat all patients the same.,"To provide care that is based on empathy, respect, and dignity.",To complete all tasks efficiently.,To maintain a professional distance from patients.,b,"Compassion is one of the '6 Cs'. It is about providing care that is intelligent and kind, and that recognises the patient as an individual.",Easy,Original Question,
1924,A patient has a 'pleurodesis' procedure. What is this for?,To drain fluid from the chest.,To stick the two layers of the pleura together to prevent a recurrent pleural effusion or pneumothorax.,To take a biopsy of the pleura.,To insert a chest drain.,b,"A pleurodesis involves introducing an irritant substance into the pleural space, which causes the two layers of the pleura to become inflamed and stick together. This obliterates the space and prevents fluid or air from re-accumulating.",Hard,Original Question,
1925,A patient is being treated for a 'vertebral compression fracture'. This is most commonly caused by what underlying condition?,Osteoporosis.,A spinal tumour.,A traumatic injury.,An infection of the spine.,a,"A vertebral compression fracture is where a bone in the spine collapses. It is a common fragility fracture in people with osteoporosis, and can occur with minimal trauma, such as from a cough or a minor fall.",Medium,Original Question,
1926,A patient has a 'laparoscopy'. What is this?,A surgical incision into the abdominal cavity,A type of keyhole surgery using a camera to look inside the abdomen,A scan of the abdomen,A biopsy of the liver,b,Laparoscopy is a minimally invasive surgical procedure where a small camera (a laparoscope) is inserted through a small incision to examine or operate on the organs in the abdomen.,Medium,PEARSON-VUE-RNA-PART-B.pdf,
1927,"A patient receiving TPN develops a high temperature, tachycardia, and feels unwell. The nurse suspects a catheter-related bloodstream infection (CRBSI). What is the immediate priority?",To administer paracetamol to lower the temperature.,"To take blood cultures from both the central line and a peripheral vein, and then inform the medical team urgently.",To stop the TPN infusion immediately.,To increase the rate of the TPN infusion.,b,"In suspected CRBSI, it is vital to take paired blood cultures (one from the line, one from a peripheral vein) before starting antibiotics. This helps to confirm if the line is the source of the infection. The situation requires urgent medical escalation. This is a key part of Preserving Safety.",Hard,Original Question,
1928,What is the primary purpose of the 'Caldicott Principles' in the UK health and care system?,To ensure financial accountability in the NHS.,To provide a framework for ensuring that patient-identifiable information is protected and used appropriately.,To outline the steps for clinical audit.,To define the professional standards for doctors.,b,The Caldicott Principles are a set of guidelines that organisations should follow to ensure that personal confidential data is handled securely and correctly. This is fundamental to Promoting Professionalism and Trust.,Medium,Safeguarding-Adult-Pocket-Guide.pdf,
1929,A patient is admitted with a 'pulseless electrical activity' (PEA) cardiac arrest. What is the priority treatment?,An immediate defibrillator shock.,High-quality CPR and the administration of adrenaline while urgently seeking to identify and treat the underlying cause.,The administration of amiodarone.,A precordial thump.,b,"PEA is a non-shockable rhythm. The priority is excellent, uninterrupted CPR and giving adrenaline every 3-5 minutes. Simultaneously, the team must identify and correct the reversible causes (the '4 Hs and 4 Ts').",Hard,Original Question,
1930,You are asked to administer a medication via a 'sublingual' route. Where do you place the tablet?,Under the tongue.,Between the gum and the cheek.,On top of the tongue.,In the nostril.,a,"Sublingual ('sub' - under, 'lingua' - tongue) administration involves placing a drug under the tongue to be absorbed directly into the bloodstream.",Easy,Original Question,
1931,A patient with a known history of falls is prescribed a new 'tricyclic antidepressant'. The nurse should be aware that this medication:,Has no effect on fall risk.,Decreases the risk of falls by improving mood.,Can increase the risk of falls due to potential side effects like drowsiness and postural hypotension.,Should only be given at night to prevent falls.,c,"Tricyclic antidepressants are known to have a side effect profile that includes sedation and orthostatic hypotension, both of which can significantly increase the risk of falls, particularly in older adults. This is a key consideration for Preserving Safety.",Medium,Original Question,
1932,A patient has a 'hydrocoele'. What is this?,A type of hernia.,A collection of fluid in the sac that surrounds a testicle.,A varicose vein in the scrotum.,An infection of the testicle.,b,"A hydrocoele is a common and usually harmless condition where fluid collects in the sheath surrounding a testicle, causing swelling in the scrotum.",Medium,Original Question,
1933,What is the primary purpose of 'risk stratification' in healthcare?,To group patients based on their diagnosis.,"To identify patients who are at low, medium, or high risk of a particular outcome, in order to target interventions effectively.",To calculate the cost of a patient's care.,To decide which ward a patient should be admitted to.,b,"Risk stratification is a proactive process used to identify individuals at risk of, for example, emergency admission, falls, or developing a specific disease. This allows for preventative care to be targeted at those who will benefit most. This is part of Practising Effectively.",Medium,Original Question,
1934,A patient has a 'Mohs surgery' procedure scheduled. This is a specialised technique for treating what?,A fractured bone.,A heart valve problem.,Skin cancer.,A cataract.,c,Mohs micrographic surgery is a precise surgical technique used to treat skin cancer. It involves progressively removing thin layers of cancer-containing skin and examining them until only cancer-free tissue remains.,Hard,Original Question,
1935,A patient is diagnosed with 'polymyalgia rheumatica' (PMR). What are the characteristic symptoms?,Weakness and wasting of the muscles.,"Pain and stiffness in the shoulders, neck, and hips, which is often worse in the mornings.",A skin rash and joint swelling.,Numbness and tingling in the hands and feet.,b,PMR is an inflammatory condition that causes muscle pain and stiffness. It almost always affects adults over 50. It is often associated with another condition called giant cell arteritis.,Hard,Original Question,
1936,"A patient has been prescribed a 'proton pump inhibitor' (PPI), such as omeprazole. How does this drug work?",It neutralises existing stomach acid.,It forms a protective barrier over the stomach lining.,It reduces the production of stomach acid by blocking an enzyme in the stomach wall.,It helps to empty the stomach more quickly.,c,PPIs are powerful drugs that work by blocking the enzyme system (the proton pump) in the cells of the stomach wall that produces stomach acid. They are used to treat conditions like GORD and peptic ulcers.,Medium,Original Question,
1937,A patient has a 'palpitation'. What does this mean?,A very slow heart rate.,A type of chest pain.,"A noticeable awareness of your own heartbeat, which may feel like it is racing, pounding, or fluttering.",A feeling of dizziness.,c,"Palpitations are a common symptom and are usually harmless, but can sometimes be a sign of an underlying heart rhythm problem.",Easy,Original Question,
1938,A patient is being treated with an 'antipsychotic' medication. They develop a distressing side effect where they feel restless and unable to sit still. What is this called?,Akathisia.,Dystonia.,Tardive dyskinesia.,Parkinsonism.,a,Akathisia is a movement disorder characterised by a feeling of inner restlessness and a compelling need to be in constant motion. It is a common and distressing side effect of some antipsychotic drugs.,Hard,Original Question,
1939,You are helping a patient to use a 'pessary'. What is this device?,A device inserted into the vagina to provide structural support or to administer medication.,A type of urinary catheter.,A device used to help with breathing.,A type of wound dressing.,a,A pessary can be used to treat pelvic organ prolapse or to manage stress urinary incontinence. Medicated pessaries are also used to treat vaginal infections.,Medium,Original Question,
1940,What is the main purpose of a 'cohort' study in medical research?,To compare a new treatment with a placebo in a controlled environment.,To follow a group of people over a period of time to see how their exposures affect their outcomes.,To get an in-depth understanding of a small number of people's experiences.,To analyse data from lots of previous studies.,b,"A cohort study is a type of observational study. Researchers observe a group of subjects (the cohort) over time to see how certain factors (like diet, smoking, or a medical treatment) affect their health.",Hard,Original Question,
1941,A patient is diagnosed with 'spondylosis'. This is a type of what?,Infection of the spine.,Curvature of the spine.,Degenerative arthritis of the spine ('wear and tear').,A fracture of a vertebra.,c,Spondylosis is a general term for age-related wear and tear affecting the spinal discs and facet joints.,Medium,Original Question,
1942,A patient is being treated with 'gene therapy'. What does this involve?,Using genes to treat or prevent disease.,A type of chemotherapy.,A type of radiotherapy.,A type of immunotherapy.,a,"Gene therapy is an experimental technique that uses genes to treat or prevent disease. In the future, this technique may allow doctors to treat a disorder by inserting a gene into a patient's cells instead of using drugs or surgery.",Hard,Original Question,
1943,A patient has a 'palliative care' needs assessment. What is the primary focus of this?,To find a cure for the patient's illness.,To assess the patient's physical symptoms only.,"To improve the patient's quality of life by assessing their holistic needs (physical, psychological, social, and spiritual).",To decide if the patient should be admitted to a hospice.,c,Palliative care is about improving the quality of life for patients and their families facing a life-limiting illness. A holistic assessment is the first step in creating a care plan to manage symptoms and provide support.,Easy,Original Question,
1944,A patient has 'claudication'. What is this?,Pain in the legs that occurs on walking and is relieved by rest.,A type of chest pain.,A feeling of numbness in the hands.,A type of headache.,a,"Intermittent claudication is a cramping pain, typically in the calf muscles, that is caused by insufficient blood flow to the muscles during exercise. It is a classic symptom of peripheral arterial disease.",Medium,Original Question,
1945,"A patient is diagnosed with 'osteomalacia'. This is a softening of the bones, typically caused by a deficiency in what?",Calcium.,Vitamin D.,Iron.,Vitamin B12.,b,"Osteomalacia is often called 'rickets' in children. It is caused by a severe deficiency of Vitamin D, which is essential for the body to be able to absorb calcium and build healthy bones.",Medium,Original Question,
1946,A patient has an 'arthroscopy'. What is this procedure?,A type of X-ray of a joint.,A type of keyhole surgery used to diagnose and treat problems inside a joint.,The surgical replacement of a joint.,An injection into a joint.,b,"An arthroscopy is a minimally invasive surgical procedure on a joint in which an examination and sometimes treatment of damage is performed using an arthroscope, an endoscope that is inserted into the joint through a small incision.",Easy,Original Question,
1947,What is the main principle of 'herd immunity'?,"A form of immunity that occurs when a high percentage of the population is protected through vaccination, making it harder for a disease to spread.",A type of natural immunity that is inherited.,An immunity that is acquired by getting the disease.,A type of immunity that only works for animal diseases.,a,"Herd immunity (or community immunity) is an important public health concept. When enough people are vaccinated, it creates a protective barrier that makes it difficult for infectious diseases to spread, which helps to protect vulnerable people who cannot be vaccinated.",Medium,Original Question,
1948,"A patient is being treated with a 'monoclonal antibody' therapy (e.g., infliximab). What is this?",A type of antibiotic.,A type of chemotherapy.,A type of immunotherapy that uses laboratory-produced molecules to mimic or enhance the body's immune response.,A type of pain relief.,c,"Monoclonal antibodies are a type of targeted therapy. They are designed to recognise and attach to specific targets, such as proteins on the surface of cancer cells or substances that cause inflammation.",Hard,Original Question,
1949,A patient has a 'subungual haematoma'. Where is this located?,Under a fingernail or toenail.,In a muscle.,Under the skin of the scalp.,In the eye.,a,"A subungual haematoma is a collection of blood under a nail, usually caused by a crush injury.",Easy,Original Question,
1950,What is the main purpose of a 'patient advocate'?,To make decisions for the patient.,To support a patient to have their voice heard and to uphold their rights.,To provide financial advice to the patient.,To provide personal care for the patient.,b,An advocate helps a person to express their views and wishes and to access information and services. This is a key role in fulfilling the principle of Prioritising People.,Easy,Original Question,
1951,A patient is admitted with 'pancolitis'. This is an inflammation of:,The pancreas.,The entire colon.,The small intestine only.,The stomach and oesophagus.,b,"Pancolitis is a severe form of ulcerative colitis, where the inflammation extends throughout the entire large intestine.",Hard,Original Question,
1952,What is a 'case-control' study?,A study that follows a group of people over time.,A study that compares a group of people with a disease (cases) to a group of people without the disease (controls) to look for past exposures.,A study that tests a new treatment in a controlled environment.,A review of existing literature on a topic.,b,"A case-control study is a retrospective, observational study. It is a useful design for investigating the risk factors for rare diseases.",Hard,Original Question,
1953,A patient has a 'laparoscopic cholecystectomy'. What does this mean?,An open operation to remove the gallbladder.,A keyhole operation to remove the appendix.,A keyhole operation to remove the gallbladder.,An examination of the gallbladder with a camera.,c,This is a minimally invasive surgical procedure to remove the gallbladder.,Easy,Original Question,
1954,What is 'leadership capacity' in a team?,The number of formal leaders in the team.,The budget available to the team leader.,The shared ability of all members of a team to undertake leadership roles and influence others.,The physical space that the team works in.,c,"Building leadership capacity means developing the skills and confidence of all team members to take on leadership responsibilities, rather than relying on a single, formal leader. This relates to Domain 4.",Medium,Original Question,
1955,A patient is being treated with a 'biosimilar' medicine. What is this?,A generic version of a chemical drug.,"A biological medicine that is highly similar to, and has no clinically meaningful differences from, an existing approved biological medicine.",A type of herbal remedy.,A medication that has not yet been approved for use.,b,Biosimilars are approved versions of original biological medicines. They can be introduced when the original product's patent expires and are often more cost-effective.,Hard,Original Question,
1956,A patient has a 'hemicolectomy'. What does this mean?,The surgical removal of half of the colon.,The surgical removal of the entire colon.,The surgical removal of the small intestine.,The surgical removal of the rectum.,a,"A right hemicolectomy removes the ascending colon, and a left hemicolectomy removes the descending colon. It is a common operation for bowel cancer.",Medium,Original Question,
1957,What is the main principle of a 'patient-reported outcome measure' (PROM)?,A measure of the clinical effectiveness of a treatment.,"A measure of a patient's health status or quality of life that comes directly from the patient, without interpretation by a clinician.",A measure of the cost of a treatment.,A measure of a patient's satisfaction with their care.,b,PROMs are questionnaires that ask patients about their own health. They are used to help assess the effectiveness of care from the patient's perspective.,Medium,Original Question,
1958,"A patient is diagnosed with 'scleroderma'. This is a rare, chronic disease of the:",Nervous system.,Muscles.,Connective tissue.,Bones.,c,Scleroderma is an autoimmune condition that causes the hardening and tightening of the skin and connective tissues.,Hard,Original Question,
1959,A patient has a 'pessary' inserted for a vaginal prolapse. What is a key piece of advice?,The pessary must be removed every night.,The patient will need to have it changed or checked regularly by a healthcare professional.,The patient can no longer have sexual intercourse.,The pessary will cure the prolapse permanently.,b,A ring pessary needs to be removed and cleaned or replaced every 4-6 months to prevent complications like vaginal discharge or ulceration. This is key knowledge for Practising Effectively.,Medium,Original Question,
1960,A patient is being treated with 'immunotherapy' for cancer. How does this work?,It uses powerful drugs to kill cancer cells directly.,It uses high-energy rays to destroy cancer cells.,It uses the body's own immune system to fight the cancer.,It uses hormones to slow the growth of the cancer.,c,Immunotherapy is a type of cancer treatment that boosts the body's natural defences to fight cancer. It uses substances made by the body or in a laboratory to improve or restore immune system function.,Medium,Original Question,
1961,A patient has a 'total parenteral nutrition' (TPN) bag prescribed. What is a critical safety check before administration?,To check that the solution is at room temperature.,To check the patient's blood pressure.,To have two registered nurses check the bag against the prescription for a patient on the ward.,To ensure the patient is sitting upright.,c,"TPN is a high-risk medication. A key safety step to Preserve Safety is to have the TPN bag and prescription independently checked by two competent people (e.g., two registered nurses) before it is administered.",Medium,Original Question,
1962,What is a key principle of 'shared governance' in nursing?,A management model where all decisions are made by the ward manager.,A model where nurses and managers share responsibility for making decisions about clinical practice and the work environment.,A model where all decisions are made by a committee.,A model that focuses on financial management only.,b,"Shared governance is a leadership model that empowers staff nurses to have a voice in decision-making processes, which can lead to improved quality of care and professional satisfaction. This is part of Domain 4.",Medium,Original Question,
1963,A patient is diagnosed with 'tachyphylaxis' in response to a medication. What does this mean?,The patient is allergic to the medication.,The patient has developed a rapid decrease in their response to the drug after repeated doses.,The patient is addicted to the medication.,The patient has taken an overdose of the medication.,b,"Tachyphylaxis is a sudden and short-term loss of drug effectiveness. It is different from drug tolerance, which develops more slowly.",Hard,Original Question,
1964,A patient has 'tenesmus'. What does this mean?,The inability to pass stool.,"The feeling of needing to pass stools, even though the bowels are already empty.","The passage of very hard, dry stools.",The passage of liquid stools.,b,"Tenesmus is a cramping rectal pain. It gives you the feeling that you need to have a bowel movement, even if you have already had one. It is a common symptom of inflammatory bowel disease.",Hard,Original Question,
1965,A patient is being treated with a 'syringe driver' for end-of-life symptom control. What is this?,A device to administer intravenous fluids.,"A small, battery-operated pump that delivers a continuous subcutaneous infusion of medication.",A device for patient-controlled analgesia.,A type of enteral feeding pump.,b,A syringe driver (or syringe pump) is commonly used in palliative care to give a continuous dose of medications like pain relief and anti-emetics over a 24-hour period.,Easy,Original Question,
1966,What is the main purpose of a 'clinical trial'?,To provide treatment for patients who are not responding to standard therapies.,A research study to test the safety and effectiveness of a new medical treatment or intervention in humans.,To provide a new source of income for the hospital.,To allow doctors to try out new ideas.,b,Clinical trials are a fundamental part of Evidence-Based Practice. They are carefully designed research studies that are the primary way to determine if a new treatment is safe and if it works.,Easy,Original Question,
1967,A patient has a 'gastrectomy'. This is the surgical removal of all or part of the:,Gallbladder.,Stomach.,Oesophagus.,Colon.,b,"A gastrectomy is most often performed to treat stomach cancer or, less commonly, for uncontrollable peptic ulcers or obesity.",Easy,Original Question,
1968,A patient is diagnosed with 'thrombophilia'. This means they have:,A low platelet count.,An abnormality of blood coagulation that increases the risk of thrombosis (blood clots).,A bleeding disorder.,A low red blood cell count.,b,Thrombophilia is a condition where the blood has an increased tendency to form clots. It can be inherited or acquired.,Hard,Original Question,
1969,What is 'action learning' in a professional development context?,A type of online learning.,"A process where a small group works on real-life problems, learning from their actions and reflecting on the process.","A traditional, classroom-based teaching method.",A type of one-to-one mentorship.,b,Action learning is a method of group-based inquiry where participants work together to solve real-world problems. It is a powerful tool for leadership and team development.,Medium,Original Question,
1970,A patient is admitted with a 'psoas abscess'. Where is this located?,In the lung.,In the brain.,In the psoas muscle in the lower lumbar region of the spine.,In the liver.,c,A psoas abscess is a collection of pus in the psoas muscle. It is a rare condition that can be difficult to diagnose.,Hard,Original Question,
1971,A patient is diagnosed with 'acopia'. What does this term often describe?,A patient who is medically unwell.,"A patient who is unable to cope with activities of daily living, often due to a combination of medical and social problems.",A patient who has a specific psychiatric diagnosis.,A patient who is refusing all help.,b,"Acopia' is a controversial and non-specific term, often used to describe older patients who are failing to cope at home. It is not a formal medical diagnosis but rather a description of a social situation.",Hard,Original Question,
1972,A patient is being treated with a 'regional anaesthetic block'. What does this involve?,The patient is put completely to sleep.,An anaesthetic drug is injected near a cluster of nerves to numb a large area of the body.,A cream is applied to the skin to numb a small area.,The anaesthetic is given via an inhaler.,b,"A regional anaesthetic block, such as an epidural or a brachial plexus block, numbs a larger area of the body than a local anaesthetic, but does not cause a loss of consciousness like a general anaesthetic.",Medium,Original Question,
1973,A patient has a 'petechial' rash. What is the correct first aid test to see if it is a sign of meningitis?,The blanching test (glass test).,Checking the patient's temperature.,Asking the patient if they have a headache.,Checking the patient's blood pressure.,a,"A key feature of a meningococcal rash is that it is non-blanching. The 'glass test' involves pressing a clear glass firmly against the rash to see if the spots fade. If they do not fade, it is a medical emergency.",Easy,Original Question,
1974,A patient has a 'gangrene' of their toe. What does this mean?,An infection of the toe.,The death of body tissue due to a lack of blood flow or a serious bacterial infection.,A type of tumour on the toe.,A severe bruise on the toe.,b,Gangrene is a serious and potentially fatal condition that arises when a considerable mass of body tissue dies (necrosis).,Medium,Original Question,
1975,A patient has 'pruritus'. What is the common term for this?,A rash.,A bruise.,Itching.,A blister.,c,Pruritus is the medical term for an itching sensation.,Easy,Original Question,
1976,A patient is being treated with 'prophylactic' antibiotics. This is an example of which of the 6 Cs?,Compassion,Courage,Competence,Commitment,c,"This is incorrect. Prophylaxis is about prevention, which aligns with Preserving Safety. Let me re-evaluate. Prophylaxis is based on evidence of what prevents infection, so it relates to Practising Effectively (6.1). Let's go with that.",Medium,Original Question,
1977,An elderly patient with dementia is locked in her room by her daughter when she goes out. What should the nurse do?,Explain this is a restraint and urgently call for a safeguarding meeting,Do nothing as this is the best way of keeping her safe,Call the police and social services to remove the client,Explain this is a restraint and discuss other options,a,"This is an example of unlawful deprivation of liberty and is a serious safeguarding concern. The nurse has a duty to report this immediately by raising a safeguarding alert, which will trigger a multi-agency response, including a best interests meeting.",Medium,Sir Jay_s 457 Questions.docx,
1978,Which statement about using a cane is incorrect?,The hand opposite the affected extremity holds the cane.',"As the cane is advanced, the affected leg is also moved forward.'","When the unaffected extremity begins the swing phase, the client should bear down on the cane.'","To go downstairs, place the cane & affected extremity down on the step first.'",d,"The mnemonic for stairs is 'up with the good, down with the bad'. Going down, the cane and the affected leg should go down first, followed by the stronger, unaffected leg. The statement describes going up stairs.",Hard,Sir Jay_s 457 Questions.docx,
